ID,Name,DungeonMapID,GatherMapID,GatherNPCResID,GatherX,GatherY
ThuyLao,Thủy Lao,92,4,650,10990,6466
Q1_ToChau,Biên Giới Tống Liêu,93,4,674,4400,8090
Q2_ToChau,Trúc Lâm,94,4,707,11300,9890
Q3_ToChau,Dã Ngoại Trại Phỉ,95,4,674,4500,8190
DanhCo1,Trân Long Kỳ Cuộc (thường),77,4,717,8600,8600
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,4,717,8600,8600
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,4,717,8600,8600
LauLanTamBao_1,Lâu Lan Tầm Bảo (thường),101,5,384,5200,7700
LauLanTamBao_2,Lâu Lan Tầm Bảo (nhanh),101,5,384,5200,7700
LauLanTamBao_3,Lâu Lan Tầm Bảo (siêu tốc),101,5,384,5200,7700
TucCau_1,Túc Cầu (thường),103,4,718,9300,9170
TucCau_2,Túc Cầu (nhanh),103,4,718,9300,9170
TucCau_3,Túc Cầu (siêu tốc),103,4,718,9300,9170
Q1_LauLan,Hoàng Kim Chi Liên,108,5,385,9400,8000
Q2_LauLan,Huyền Phật Châu,109,5,385,9400,8000
Q3_LauLan,Dung Nham Chi Địa,110,5,386,4000,8500
SatTinh,Thập Nhị Sát Tinh,111,2,41,4170,7840
PMVL,Yến Tử Ô,105,25,721,2200,6400
PhiKH,Diệt Phỉ Kính Hồ,107,30,301,6400,8430
